sample_index,time_ps,harmonic_hartree,total_PE_hartree,intramolecular_hartree,lj_hartree,coulombic_hartree,T_kinetic_K
246,34700.000000,0.3215067000,-0.3621487462,0.3215067000,-0.6836554462,0.0000000000,394.848582
247,34800.000000,0.3207477966,-0.3934321553,0.3207477966,-0.7141799519,0.0000000000,380.235883
248,34900.000000,0.3287445749,-0.3701392470,0.3287445749,-0.6988838220,0.0000000000,438.349746
249,35000.000000,0.3044209859,-0.4315780934,0.3044209859,-0.7359990793,0.0000000000,365.884204
250,35100.000000,0.2446168981,-0.4825851579,0.2446168981,-0.7272020560,0.0000000000,414.930738
251,35200.000000,0.2827642669,-0.4403383861,0.2827642669,-0.7231026531,0.0000000000,400.955458
252,35300.000000,0.2887744970,-0.4583994291,0.2887744970,-0.7471739261,0.0000000000,376.960105
253,35400.000000,0.2815949939,-0.4170872633,0.2815949939,-0.6986822572,0.0000000000,411.357999
254,35500.000000,0.2755839405,-0.4176992113,0.2755839405,-0.6932831518,0.0000000000,390.416280
255,35600.000000,0.3047844257,-0.3890283227,0.3047844257,-0.6938127485,0.0000000000,401.546875
256,35700.000000,0.3187463226,-0.3805582867,0.3187463226,-0.6993046093,0.0000000000,399.776421
257,35800.000000,0.3058501396,-0.4078951437,0.3058501396,-0.7137452833,0.0000000000,398.083525
258,35900.000000,0.2955001998,-0.3926463058,0.2955001998,-0.6881465056,0.0000000000,413.726722
259,36000.000000,0.2551970448,-0.5048684129,0.2551970448,-0.7600654577,0.0000000000,394.370155
260,36100.000000,0.3320597634,-0.4234484244,0.3320597634,-0.7555081878,0.0000000000,395.305554
261,36200.000000,0.2727875350,-0.4560728527,0.2727875350,-0.7288603877,0.0000000000,389.368360
262,36300.000000,0.3094651273,-0.4264325968,0.3094651273,-0.7358977241,0.0000000000,399.510036
263,36400.000000,0.2834909447,-0.4370506133,0.2834909447,-0.7205415579,0.0000000000,380.859639
264,36500.000000,0.3220523387,-0.3720619202,0.3220523387,-0.6941142589,0.0000000000,386.152327
265,36600.000000,0.3034269415,-0.4397880868,0.3034269415,-0.7432150283,0.0000000000,394.627143
266,36700.000000,0.2574486900,-0.4733419338,0.2574486900,-0.7307906238,0.0000000000,422.972111
267,36800.000000,0.3282453433,-0.4080000246,0.3282453433,-0.7362453679,0.0000000000,387.304937
268,36900.000000,0.2974590681,-0.4623044929,0.2974590681,-0.7597635610,0.0000000000,395.230541
269,37000.000000,0.2868961427,-0.4186597935,0.2868961427,-0.7055559362,0.0000000000,428.181094
270,37100.000000,0.2930491705,-0.4373802979,0.2930491705,-0.7304294683,0.0000000000,415.721865
271,37200.000000,0.2921711756,-0.4316535531,0.2921711756,-0.7238247287,0.0000000000,389.604402
