time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
28.800000,300.0000,0.0000,287.9225,3.0619,562.8195,195.9308,298.3114,13.6390
28.900000,300.0000,0.0000,307.8167,4.1444,422.6022,111.0588,297.9887,14.5993
29.000000,300.0000,0.0000,283.4846,9.8155,577.7801,158.6232,300.2805,16.2515
29.100000,300.0000,0.0000,306.8069,7.7419,453.5020,183.5057,291.4995,13.3987
29.200000,300.0000,0.0000,295.5538,8.7968,498.8707,132.5592,298.9441,15.1519
29.300000,300.0000,0.0000,293.0549,4.5982,511.4367,189.9216,296.0938,7.8940
29.400000,300.0000,0.0000,302.3790,15.9475,454.6070,103.9198,296.9769,18.5965
29.500000,300.0000,0.0000,282.3592,2.3311,568.6177,180.2762,296.6488,7.8819
29.600000,300.0000,0.0000,303.4620,9.5051,423.1829,143.0347,298.5173,13.4474
29.700000,300.0000,0.0000,289.3986,8.5977,527.4139,125.2535,300.1033,10.4927
29.800000,300.0000,0.0000,291.0241,6.3506,480.9521,189.4758,303.2721,20.2349
29.900000,300.0000,0.0000,290.5552,10.5304,498.3724,100.5283,299.5672,18.1215
